M,K,N,latency_ms,cycles,latency_per_cycle
128,128,728,0.288478999993913,982,0.0002937668024377933
128,128,736,0.2926932499946133,990,0.0002956497474693064
128,128,744,0.2957229000088546,998,0.0002963155310709966
128,128,752,0.28650099999936174,1006,0.0002847922465202403
128,128,760,0.29381190000208335,1014,0.00028975532544584155
128,128,768,0.2946059999942463,1022,0.00028826418786129774
128,128,776,0.2970244500033914,1030,0.0002883732524304771
128,128,784,0.29582040000093457,1038,0.0002849907514459871
128,128,792,0.29078129999504654,1046,0.00027799359464153586
128,128,800,0.32622759999583195,1054,0.00030951385198845535
128,128,808,0.2975230999965106,1062,0.0002801535781511399
128,128,816,0.29108310000651727,1070,0.0002720402803799227
128,128,824,0.292017949996648,1078,0.0002708886363605269
128,128,832,0.30523524999637175,1086,0.00028106376611083955
128,128,840,0.2927246999917088,1094,0.00026757285191198246
128,128,848,0.2914275999984284,1102,0.0002644533575303343
128,128,856,0.29800549999947634,1110,0.0002684734234229517
128,128,864,0.29390779999403094,1118,0.00026288711985154823
128,128,872,0.30701485001145556,1126,0.00027265972469933886
128,128,880,0.3045213499859756,1134,0.0002685373456666451
128,128,888,0.2916473500022221,1142,0.00025538296847830305
128,128,896,0.2956073499944978,1150,0.00025704986956043285
128,128,904,0.29702499999473275,1158,0.0002564982728797347
128,128,912,0.3013278999958402,1166,0.0002584287306996914
128,128,920,0.298385799993639,1174,0.0002541616695005443
128,128,928,0.3033490499973368,1182,0.00025664048223124944
128,128,936,0.30360844999393066,1190,0.0002551331512554039
128,128,944,0.31646794998607675,1198,0.0002641635642621676
128,128,952,0.29510249999873395,1206,0.000244695273630791
128,128,960,0.3142536499979087,1214,0.0002588580312997601
128,128,968,0.29491399999130863,1222,0.00024133715220238023
128,128,976,0.2983692499896051,1230,0.00024257662600780906
128,128,984,0.30139994999842656,1238,0.0002434571486255465
128,128,992,0.2999393000038708,1246,0.00024072174960182248
128,128,1000,0.3104888000024175,1254,0.00024759872408486246
128,128,1008,0.2936083999998118,1262,0.00023265324881126134
128,128,1016,0.30801829999518304,1270,0.0002425340944843961
128,128,1024,0.299877699998774,1278,0.0002346460876359734
