M,K,N,latency_ms,cycles,latency_per_cycle
496,64,512,0.3298346999599744,1070,0.0003082567289345555
504,64,512,0.35219799998458257,1078,0.00032671428569998383
128,96,512,0.28272144998027215,734,0.00038517908716658334
136,96,512,0.2993821500240301,742,0.00040347998655529665
144,96,512,0.2842065000322691,750,0.0003789420000430255
152,96,512,0.2997656500269841,758,0.0003954691952862587
160,96,512,0.2910494999923685,766,0.00037996018275766126
168,96,512,0.2974156500272329,774,0.0003842579457716187
176,96,512,0.2848941500133151,782,0.0003643147698379988
184,96,512,0.29437840001946824,790,0.00037263088610059274
192,96,512,0.29178504997844357,798,0.00036564542603814985
200,96,512,0.291763600057493,806,0.000361989578235103
208,96,512,0.30789730000151394,814,0.0003782522113040712
216,96,512,0.29780695000454216,822,0.00036229555961623134
224,96,512,0.29668390001234,830,0.00035745048194257834
232,96,512,0.30315940001628405,838,0.00036176539381418146
240,96,512,0.3000077500246334,846,0.0003546190898636329
248,96,512,0.3033914000070581,854,0.00035525925059374483
256,96,512,0.30503799998768955,862,0.00035387238977690203
264,96,512,0.31098994996909823,870,0.00035745971260815886
272,96,512,0.3062887500391298,878,0.00034884823466871276
280,96,512,0.3198191499677705,886,0.00036096969522321726
288,96,512,0.3010936999999103,894,0.00033679384787462
296,96,512,0.3156882499979474,902,0.0003499869733901856
304,96,512,0.299984199989467,910,0.0003296529670213923
312,96,512,0.3080136000107814,918,0.0003355267973973653
320,96,512,0.31384914998398017,926,0.00033892996758529175
328,96,512,0.3225003500006096,934,0.00034528945396210877
336,96,512,0.3106350999814822,942,0.00032976125263426987
344,96,512,0.3237778000425351,950,0.00034081873688687905
352,96,512,0.3251965500112419,958,0.0003394536012643444
360,96,512,0.3209481999988384,966,0.00033224451345635446
368,96,512,0.3157168500138141,974,0.0003241446098704457
376,96,512,0.31840289997262516,982,0.00032423920567477103
384,96,512,0.314415700029258,990,0.0003175916161911697
392,96,512,0.32353129998909935,998,0.0003241796593077148
400,96,512,0.3273105500170459,1006,0.0003253583996193299
408,96,512,0.332766049973543,1014,0.00032817164691670904
416,96,512,0.32280584997579354,1022,0.0003158569960624203
424,96,512,0.3295782500003952,1030,0.00031997888349552934
432,96,512,0.3223787000138145,1038,0.00031057678228691186
440,96,512,0.3323095000155263,1046,0.0003176955067070041
448,96,512,0.3316634499810789,1054,0.00031467120491563463
456,96,512,0.32928584995488563,1062,0.00031006200560723695
464,96,512,0.33137839997152696,1070,0.00030969943922572613
472,96,512,0.3279502000168577,1078,0.0003042209647651741
480,96,512,0.3209300499975143,1086,0.00029551569981354906
488,96,512,0.33418069997424027,1094,0.0003054668189892507
496,96,512,0.3251118999855862,1102,0.00029501987294517805
504,96,512,0.35138034997999057,1110,0.00031655887385584737
128,128,512,0.2788785999996435,766,0.00036407127937290273
136,128,512,0.30235825003046557,774,0.0003906437338894904
144,128,512,0.2926720999994359,782,0.0003742609974417339
152,128,512,0.3042355499928817,790,0.00038510829113023
160,128,512,0.2978803999781121,798,0.00037328370924575454
168,128,512,0.2964865000080863,806,0.00036784925559315917
176,128,512,0.2835030499909408,814,0.00034828384519771597
184,128,512,0.2976669999952719,822,0.0003621253041305011
192,128,512,0.30440150000003996,830,0.000366748795180771
200,128,512,0.2961513500167712,838,0.0003534025656524716
208,128,512,0.30038980002018434,846,0.00035507068560305477
216,128,512,0.30179669998915415,854,0.0003533919203620072
224,128,512,0.30829369998173206,862,0.00035764930392312303
232,128,512,0.2996781999968334,870,0.00034445770114578553
240,128,512,0.29938229998833776,878,0.00034098211843774234
248,128,512,0.30547510002634226,886,0.0003447800226030951
256,128,512,0.30293280001387757,894,0.0003388510067269324
264,128,512,0.3174339500219503,902,0.0003519223392704549
272,128,512,0.30639570001085303,910,0.00033669857144049786
280,128,512,0.3081252500010123,918,0.00033564842048040556
288,128,512,0.31179495002788826,926,0.0003367116091013912
296,128,512,0.3074081000136175,934,0.0003291307280659716
304,128,512,0.3135246500391986,942,0.00033282871554055055
312,128,512,0.3188126000054581,950,0.00033559221053206114
320,128,512,0.31212135000942,958,0.00032580516702444677
328,128,512,0.3309459000320203,966,0.0003425940994120293
336,128,512,0.3125697000200489,974,0.00032091344971257586
344,128,512,0.3477860500197494,982,0.00035416094706695455
352,128,512,0.3107270999521461,990,0.00031386575752742027
360,128,512,0.3196717000150784,998,0.0003203123246644072
368,128,512,0.3208902500091426,1006,0.0003189763916591875
376,128,512,0.35186150000754424,1014,0.0003470034516839687
384,128,512,0.3090212000302017,1022,0.00030236908026438523
392,128,512,0.3251639499922021,1030,0.00031569315533223506
400,128,512,0.333603349997702,1038,0.0003213905105950887
408,128,512,0.3358117999709975,1046,0.00032104378582313337
416,128,512,0.3334755000082623,1054,0.00031639041746514454
424,128,512,0.32656854998549534,1062,0.0003075033427358713
432,128,512,0.32136114998593257,1070,0.00030033752335133885
440,128,512,0.32832829999733804,1078,0.00030457170686209464
448,128,512,0.31674484999939523,1086,0.0002916619244929974
456,128,512,0.3406022000035591,1094,0.0003113365630745513
464,128,512,0.32740875002446046,1102,0.0002971041288788207
472,128,512,0.3407911000067543,1110,0.00030701900901509396
480,128,512,0.32525050000913325,1118,0.00029092173524967194
488,128,512,0.3284882499883679,1126,0.00029173023977652565
496,128,512,0.33486815000287606,1134,0.0002952981922423951
504,128,512,0.3438767499687856,1142,0.00030111799471872644
